"order_id","product_id","craftsman_id","customer_id","order_created_date","order_completion_date","order_status","product_name","product_description","product_type","product_price"
32,32,32,32,2019-05-31,,in progress,HandMade Pack of 2 Assorted Lightly Padded T-shirt Bras E6552BDPU,Pack of 2 solid medium-coverage assorted T-shirt brasLightly padded and non-wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day ComfortDisclaimer: The final product delivered might vary in colour and prints from the display here,clothes,250
33,33,33,33,2018-01-31,2018-02-01,done,Malgudi Filter Coffee - 60:40,"Malgudi filter coffee plantation is sourced & processed under conditions to meet the strictest quality standards. Made from traditionally roasted coffee beans, it gives you a strong coffee experience. It is specially packed in freshness seal packs to lock the aroma of the coffee.",Beverages,254
34,34,34,34,2018-10-15,,created,HandMade Women Brown Printed T-Strap Flats,"A pair of brown open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole",clothes,221
35,35,35,35,2021-05-22,,delivery,Sunrise Extra Sachet,"Nescafe Sunrise Extra Sachet is a refreshing instant coffee. It is made with the blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",Beverages,84
36,36,36,36,2019-10-01,,delivery,HandMade Women Blue Agile t1 NM Wn s IDP Sneakers,Product Design DetailsA pair of round-toe blue sneakersHas regular stylingLace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer,clothes,56
37,37,37,37,2022-04-12,2022-04-13,done,Beaten Caffe,"Sunbean Beaten Caffe is a ready-to-use smooth, thick paste made of coffee and sugar. When added to hot milk, it makes a creamy, frothy and tasty cup of coffee- just like your favourite beat coffee but without the hassle of making it.",Beverages,154
38,38,38,38,2019-11-23,,created,HandMade Yellow Single Long Door Curtain,Set content: Single Long Door curtainColour: YellowPattern: Abstract Long DoorLight blocking: RegularFitting: EyeletLining: No,clothes,128
39,39,39,39,2018-10-18,,in progress,Classic Coffee,It is a 100% soluble coffee with a traditional taste. SLN coffee plantation has been growing some of the finest Coorg coffee berries with the help of advanced technology and wisdom about the plantation.,Beverages,20
40,40,40,40,2018-03-06,,in progress,HandMade Men Navy Blue Core 1.0 Running Shoes,"Product description:The HRX Performance Running Shoes from the Core 1.0 Running Collection have everything you expect from a running shoe and more. These shoes are the ultimate in comfort, support and durability.Features:-Ideal for running on roads-Designed to provide maximum support to your feet and ankle.-Breathable upper with constructed mesh keeps your feet cool and dry.-Counter clutch helps maintain a strong grip while running.-High density EVA midsole cushions impact.-High abrasion sole increases longevity and durability.-High quality EVA insole with Arc Support controls feet's natural sideways movement and provides extra stability.Weight: Mid-weightFastening : Lace upFit: Comfort",clothes,216
41,41,41,41,2020-10-18,,created,Instant Coffee - Strong,"Established in 1995, CCL is Indias largest coffee manufacturer as well as a major global exporter. CCL has become one of the worlds most favoured coffee supplier, providing over 200 different coffee blends to renowned brands in 90+ countries. CCL now introduces the same taste, richness and aroma with the finest instant coffee in India under the HandMade brand. 
CONTINENTAL STRONG : If you have had a tiring day at work or if you are feeling low and lethargic, add the strong zest of HandMade Strong Instant Coffee to get you back up on your feet and your engines running again. Blended with 53% coffee and 47% chicory, Coninental's Strong Instant Coffee has the strong taste and power to chase your lethargy away in a jiffy and put you back in the driver's seat. Whether it is pulling an all-nighter for those never-ending projects or making lengthy presentations, one cuppa of this unique blend is sure to make you crave for more.",Beverages,245
42,42,42,42,2021-05-25,2021-05-28,done,HandMade Beige Self Design Shoulder Bag,"Beige self design shoulder bag, has a zip closure2 main compartments, 2 external and 5 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strapWarranty: 1 yearWarranty provided by brand/manufacturer",clothes,229
43,43,43,43,2021-09-21,,delivery,Instant Coffee - Caramel Flavour,HandMade Caramel Flavour Instant Coffee is made from the finest quality coffee beans that are handpicked. It is infused with a gooey caramel flavour. This flavoured coffee is sure to appeal the Gen-Z and the Millennials. You can now make super-smooth coffee at home. The company shows that coffee doesn't need to be boring. This instant coffee is easy and quick to make.,Beverages,289
44,44,44,44,2018-04-21,,in progress,HandMade Women White Skinny Fit High-Rise Clean Look Cropped Jeans,"White light wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",clothes,262
45,45,45,45,2019-01-09,,created,Deccan Gold - Organic Filter Coffee,"Exceptionally bright and light-bodied, our pristine origin uncontaminated organic coffee is an exquisite light to medium roast coffee. It prepared from the maximum quality of coffee beans, it is agreeable with nutty character and perfume. It has a soft mellow flavour and superior for the body.",Beverages,188
46,46,46,46,2021-08-04,2021-08-07,done,HandMade Men White & Red Printed Round Neck T-shirt,"White and red printed T-shirt, has a round neck, and short sleeves",clothes,205
47,47,47,47,2019-07-15,,in progress,This Cappuccino 3 In 1 Premix Instant Coffee,This is Cappuccino coffee is a delicious 3 in 1 coffee from HandMade Coffee. Enjoy the cafe likes flavours in your comfort.,Beverages,167
48,48,48,48,2021-07-12,,in progress,HandMade Purple Pocket Square,Purple pocket square,clothes,233
49,49,49,49,2019-03-19,,created,Regular Filter Coffee - 80:20,"This filter coffee is a traditional South Indian blend containing 80% Coffee and 20% Chicory giving you that authentic taste of South Indian Filter Coffee. These are medium-dark roasted coffee. Savour a refreshingly unique filter coffee experience. It offers an array of unique blends that are specially crafted to delight coffee lovers. Its strong, yet not very overpowering taste allows you to enjoy the perfect cup.
 Benefits 
1. Made using good quality beans and perfectly roasted.
2. Easy to use and store.
3. It contains authentic South Indian flavours.",Beverages,242
50,50,50,50,2018-09-29,,delivery,HandMade Grey Melange T-shirt,"Grey melange T-shirt with contrast knitted pattern, has a round neck, short sleeves and a patch pocket",clothes,215
51,51,51,51,2022-12-31,2023-01-02,done,Gold Cappuccino - Cafe Experience,"Nescafe Café experience Gold Cappuccino is a refreshing cafe style instant coffee. It is made with pure coffee beans. It is a instant coffee premix that gives you a distinctive coffee experience. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This smooth coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",Beverages,105
52,52,52,52,2019-11-02,,created,HandMade Men Black Printed Round Neck T-shirt,"Black and Green printed T-shirt, has a round neck, and short sleeves",clothes,235
53,53,53,53,2022-09-28,,created,"Coffee - Pure Filter, 100 % Coffee, 0% Chicory","This coffee, shade-grown under giant Rose Wood, Wild Fig and Jack Fruit trees, is hand picked and meticulously processed to highlight the flavorful intrinsic notes latent in each bean. HandMade - Pure Filter Coffee is a delectable heirloom from the House of Ramapuram, that unfolds a brew of strength, flavour and fine taste with a lingering finish of caramel notes.",Beverages,196
54,54,54,54,2020-08-30,,delivery,HandMade Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,"Blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",clothes,80
55,55,55,55,2019-02-06,,created,"Coffee Decoction - Ready to Use Filter, Eighty20",Liquid Coffee Concentrate,Beverages,284
56,56,56,56,2018-10-28,2018-10-30,done,HandMade Men Navy Blue Slim Tapered Michael Mid-Rise Clean Look Stretchable Jeans,"Navy Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",clothes,140
57,57,57,57,2018-09-06,2018-09-08,done,HandMade Speciale,"HandMade Speciale is 100% pure, instant, soluble coffee processed from carefully selected plantation Arabica and washed Robusta beans blended to perfection for complete satisfaction instantly. A flavour made out of hand-picked, natural and pure coffee beans that makes every morning a special affair. HandMade Speciale could be your everyday morning cup of joy. With 100% coffee and nothing coming in its way, HandMade Speciale is here to bring you the classic richness and taste of coffee.",Beverages,228
58,58,58,58,2020-04-03,2020-04-06,done,HandMade Women Blue & Black Regular Fit Checked Casual Shirt,"Blue and Black checked casual shirt, has a spread collar, long roll-up sleeves, button placket, and high-low hem",clothes,53
59,59,59,59,2020-01-28,,created,Irish Hazelnut Flavour - Premium Arabica Instant Coffee,"Turbocharge your day with HandMade! The only instant coffee you’ll fall in love with instantly 100% natural plant-based vitamins blend 100% Arabica beans Proprietary small-batch crystallisation technology. Keeps you fuelled all day long enhanced athletic performance, heightened cognitive function & a sustained burst of energy.
Our beans are carefully selected & expertly roasted and crystallized to give you that caffeine kick, bold taste and great aroma that thousands of people have come to love! Why we created HandMade? We love coffee and we were looking for a more intense kick without doing all the hard work of brewing that perfect cup and without a lot of caffeine. We spent over 6 months and developed 85 (maybe more) prototypes to hit the perfect formulation. We combined some of the most potent natural vitamins and herbal extracts, with the highest quality coffee beans are grown in Ethiopia to create the best coffee stack available on the market! The functioning of the brain is mainly dependant on the electrical activities that occur within the brain cells. HandMade promotes healthy electrical activity in the brain, thereby leading to a well-coordinated brain function.
All-natural plant-based! Know the Science behind HandMade Our proprietary formulation and small-batch crystallisation yields a bold coffee that is ready to help you seize the day. HandMade’s blend of supplements sourced from plant extracts and natural compounds have been scientifically formulated to work synergistically with caffeine. It contains only the best ingredients that have undergone years of clinical studies.",Beverages,223
60,60,60,60,2018-08-26,,in progress,HandMade Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",clothes,149
61,61,61,61,2019-10-01,,in progress,Coffee - Brownie Special,"Coarse Filter powder. You are absolutely going to love the taste of this coffee. Made with premium coffee beans, the taste will surely make your day. this will absolutely become your favourite hot beverage.",Beverages,261
62,62,62,62,2020-08-18,,in progress,HandMade Men Grey Tapered Fit Mid-Rise Clean Look Stretchable Jeans,"Grey light wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",clothes,51
63,63,63,63,2020-02-26,2020-02-29,done,"Organic Coffee - Powder, Bold","100 percent certified organic coffee powder, made from the finest arabica coffee beans sourced from certified organic farms in Chikmangalur, Karnataka Grown without use of any chemicals, pesticides or insecticides Cultivated with controlled organic farming practices. Phalada Pure and sure is a range of certified organic food products stemmed from our aim of providing complete solutions across organic supply chain. By offering end consumers quality organic food products which are sourced directly from farmers, we make sure our involvement in the supply chain from farm to hands. Our products guarantee purity and reach your hands without the use of chemical fertilizers, additives or artificial ingredients. We go one step further to satisfy our customers- In areas where our supplies are limited, we source premium organic products from across the globe and deliver a complete range of pure products that sure serves you the best. By sowing our vision, we harvest quality and spread healthy organic practices.",Beverages,197
64,64,64,64,2022-09-29,,delivery,HandMade Women Black Solid Sandals,"A pair of black open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer",clothes,153
65,65,65,65,2019-09-29,,in progress,"Leaf Tea - Chikamagalur Aroma, Premium, Fresh",Premium Fresh Leaf Tea Powder.,Beverages,151
66,66,66,66,2018-08-24,,in progress,HandMade Multicoloured Textured Clutch,Multicoloured textured clutch1 main compartment with twist closure,clothes,207
67,67,67,67,2018-10-11,2018-10-12,done,Instant Filter Coffee - Decoction,"Just add filter coffee decoction in hot or cold milk for ready to drink coffee, so have your coffee anytime. Enjoy this finely ground traditional coffee decoction.",Beverages,97
68,68,68,68,2022-04-24,2022-04-27,done,HandMade Women Gold-Toned Solid Sandals,"A pair of gold-toned open toe sandals, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer",clothes,252
69,69,69,69,2020-07-14,,delivery,"Woddae Medium Dark Roast Ground Coffee - Whole Beans, Single Origin","Smooth coffee with a rich crema and a heady cacao aroma!
This unique coffee works well as both black coffee and with milk.
These perfectly roasted coffee beans are hand-picked from our very own plantations in Chikmagalur.
Experience Italy in a cup of India's finest!
We sow, grow, pick, process, roast, grind, package & dispatch all our coffee ourselves-NO middlemen!
HandMade Coffee Company is an artisan ‘crop-to-cup’ venture between Indian Coffee Growers and Italian Roasters. The perfect blend of talents; coffee is grown in the hills of Chikmagalur is roasted using traditional Italian techniques to produce exquisite gourmet coffees assured to elevate the senses.",Beverages,152
70,70,70,70,2020-11-12,,delivery,HandMade Girls Off-White Printed Round Neck T-shirt,"Off-white printed T-shirt, has a round neck, and sleeveless",clothes,135
71,71,71,71,2018-12-03,,created,Filter Coffee Powder,"Traditional south Indian filter coffee powder with rich aroma and taste.Filter coffee has been roasted and ground. Filter coffee contains more caffeine than instant coffee. Coffee is also known as Kaapi, which is the south Indian phonetic name for Coffee. Coffee has been loved by Indians for ages and is considered to be the rich man's beverage drink. Very few beverages are as potent and satiating as a cup of filter coffee. You can brew it strong or light based on how you like it.",Beverages,104
72,72,72,72,2019-07-15,,created,HandMade Off-White Ethnic Motifs AC Room 120 GSM Reversible Single Bed Dohar,Set content: Single bed doharUsage: AC RoomGSM: 120Colour: Off-White and bluePattern: Ethnic Motifs,clothes,143
73,73,73,73,2022-06-24,2022-06-26,done,"3-In-1 Coffee","HandMade Instant Coffee has a fresh aroma and rich taste. Because it melts in cold water and milk, it is also ideal for ice coffee and ice cafe au lait as well as hot.",Beverages,83
74,74,74,74,2018-12-18,,created,HandMade White Sand Stone Face Statue,Set content: One showpiece Colour: White Size: Medium Pattern: Textured Shape: Face statue Material: Sand Stone ,clothes,115
75,75,75,75,2018-05-28,2018-05-31,done,Filter Coffee Decoction,"Ready to use south Indian filter coffee decoction, just pour 10 ml of decoction and add hot milk to make a perfect cup of authentic filter coffee. This product can also be used to make black coffee and delicious cold coffee.Filter coffee has been roasted and ground. Filter coffee contains more caffeine than instant coffee. Coffee is also known as Kaapi, which is the south Indian phonetic name for Coffee. Coffee has been loved by Indians for ages and is considered to be the rich man's beverage drink. Very few beverages are as potent and satiating as a cup of filter coffee. You can brew it strong or light based on how you like it.",Beverages,44
76,76,76,76,2022-06-25,2022-06-26,done,HandMade Blue Slim Casual Shirt,"Blue woven casual shirt in a patterned weave, has a spread collar, a full button placket, long sleeves, a curved hem",clothes,227
77,77,77,77,2019-06-26,,delivery,"Coffee - Blended Beans, Espresso Bold Roasted","HandMade - Espresso Bold is a select blend of the finest Arabicas with just a touch of the best Robustas, chosen from the House of Ramapuram's family estates in Coorg and other plantations in the region. Roasted and blended to bring out an intense aroma and a thick reddish brown crema,HandMade - Espresso Bold produces a fine & full-bodied brew with balanced acidity, bitterness and sweetness of coffee, with notes of chocolate..",Beverages,180
78,78,78,78,2020-04-04,,in progress,HandMade Men Blue Super Slim Fit Mid-Rise Clean Look Stretchable Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",clothes,41
79,79,79,79,2022-12-04,,created,"Deccan Gold - Premium Filter Coffee, 80:20 Blend","Pristine Deccan Gold Filter Coffee are carefully combined and roasted to offer the full, rich savour and aroma. This is using superiority coffee beans under complete hygienic conditions. It is a wonderful blend of colour, savour and strength which is also first-class for your health. It has a different flavour that satisfies the most discerning coffee drinker. It is a delicate light to medium roast coffee. It completed from the highest quality of coffee beans.",Beverages,250
80,80,80,80,2019-08-12,,delivery,HandMade Men Taupe Self Design Kurta with Churidar,"Taupe self design kurta with churidarTaupe self design straight knee length kurta, has a mandarin collar, long sleeves, straight hemGold-coloured solid churidar, drawstring closure",clothes,145
81,81,81,81,2022-05-22,,delivery,Strong Blend,Strong Blend from HandMade is a perfect blend of coffee roasted to a lovely chocolate brown to give a nutty finish which gives a pleasing aromatic taste for those who love coffee.,Beverages,196
82,82,82,82,2018-07-23,,in progress,HandMade Women Blue Ankle Flare Bootcut Mid-Rise Clean Look Stretchable cropped Jeans,"Blue medium wash 5-pocket mid-rise cropped jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",clothes,267
83,83,83,83,2020-03-17,2020-03-18,done,"Coffee - Chikamagalur Aroma Platinum Filter Coffee, Using 100% German Machinary to Roast & Grind","Rise up aroma platinum was created as response to aroma plantnium consumers desrires for A different , more sophisticated and more urban concept of filter coffee experience. Rise up aroma platinum is an exlusive blend of premium quality roasted and ground coffee made of varietry of carefully selected coffee beans grown on the high altitude",Beverages,105
